BuoyID,Year,Hour,Min,DOY,POS_DOY,Lat,Lon,BP,Ts
41080,2018,00,05,108.003,108.001,88.07800,80.62720,1020.80,-17.84
41080,2018,01,05,108.045,108.042,88.07780,80.54040,1020.80,-18.64
41080,2018,02,05,108.087,108.084,88.07750,80.45810,1020.80,-18.72
41080,2018,03,05,108.128,108.126,88.07700,80.38000,1021.20,-20.16
41080,2018,04,04,108.169,108.167,88.07640,80.30170,1021.10,-20.16
41080,2018,05,04,108.211,108.208,88.07560,80.22330,1021.00,-19.84
41080,2018,06,04,108.253,108.250,88.07460,80.14190,1020.80,-20.00
41080,2018,07,04,108.294,108.292,88.07340,80.05290,1020.80,-19.20
41080,2018,08,05,108.337,108.334,88.07230,79.95390,1020.70,-18.48
41080,2018,09,05,108.378,108.376,88.07120,79.84720,1020.80,-18.40
41080,2018,10,05,108.420,108.417,88.07000,79.73530,1021.00,-17.92
41080,2018,11,05,108.462,108.459,88.06880,79.62310,1020.70,-18.32
41080,2018,12,05,108.503,108.501,88.06750,79.50780,1020.60,-18.16
41080,2018,13,05,108.545,108.542,88.06620,79.39620,1020.50,-18.56
41080,2018,14,04,108.586,108.583,88.06540,79.29480,1020.50,-18.08
41080,2018,15,04,108.628,108.625,88.06410,79.20870,1020.70,-18.96
41080,2018,16,04,108.669,108.667,88.06240,79.12740,1020.40,-18.00
41080,2018,17,04,108.711,108.709,88.06080,79.03840,1020.10,-17.36
41080,2018,18,05,108.753,108.751,88.05910,78.94970,1020.10,-16.64
41080,2018,19,05,108.795,108.792,88.05760,78.85750,1020.20,-16.16
41080,2018,20,05,108.837,108.834,88.05630,78.76420,1020.40,-15.04
41080,2018,21,05,108.878,108.876,88.05540,78.66410,1020.50,-14.72
41080,2018,22,05,108.920,108.917,88.05490,78.56320,1020.60,-14.08
41080,2018,23,05,108.962,108.959,88.05440,78.46710,1020.60,-13.44
41080,2018,00,04,109.003,109.000,88.05410,78.37800,1020.40,-13.52
41080,2018,01,04,109.044,109.042,88.05380,78.29080,1020.40,-13.20
41080,2018,02,04,109.086,109.083,88.05240,78.21360,1020.50,-12.96
41080,2018,03,04,109.128,109.126,88.05060,78.13980,1020.30,-13.36
41080,2018,04,05,109.170,109.167,88.04890,78.06940,1020.30,-13.28
41080,2018,05,05,109.212,109.209,88.04730,78.00300,1020.50,-13.44
41080,2018,06,05,109.253,109.251,88.04580,77.92630,1020.40,-13.28
41080,2018,07,05,109.295,109.292,88.04450,77.84720,1020.10,-13.44
41080,2018,08,05,109.337,109.334,88.04330,77.76670,1020.00,-13.52
41080,2018,09,05,109.378,109.376,88.04210,77.68460,1020.10,-13.84
41080,2018,10,05,109.420,109.417,88.04150,77.59960,1020.20,-14.48
41080,2018,11,04,109.461,109.458,88.04090,77.51570,1020.30,-14.16
41080,2018,12,04,109.503,109.500,88.04040,77.43260,1019.80,-14.64
41080,2018,13,04,109.544,109.542,88.03940,77.36140,1020.00,-14.80
41080,2018,14,04,109.586,109.583,88.03810,77.29650,1019.80,-14.64
41080,2018,15,05,109.628,109.626,88.03690,77.23510,1019.80,-14.64
41080,2018,16,05,109.670,109.667,88.03530,77.17780,1019.60,-14.96
41080,2018,17,05,109.712,109.709,88.03360,77.12460,1019.40,-15.12
41080,2018,18,05,109.753,109.751,88.03190,77.07020,1019.10,-15.28
41080,2018,19,05,109.795,109.792,88.03010,77.01600,1018.60,-15.28
41080,2018,20,04,109.836,109.834,88.02830,76.95870,1018.20,-15.12
41080,2018,21,04,109.878,109.875,88.02640,76.90150,1018.20,-15.28
41080,2018,22,04,109.919,109.917,88.02470,76.83880,1017.90,-15.20
41080,2018,23,04,109.961,109.959,88.02280,76.77430,1017.80,-15.12
41080,2018,00,04,110.003,110.000,88.02100,76.71070,1017.30,-14.88
41080,2018,01,05,110.045,110.042,88.01920,76.64920,1016.80,-14.96
41080,2018,02,05,110.087,110.084,88.01710,76.59460,1016.30,-15.04
41080,2018,03,05,110.128,110.126,88.01500,76.54540,1015.90,-14.96
41080,2018,04,05,110.170,110.167,88.01300,76.50070,1015.40,-14.88
41080,2018,05,05,110.212,110.209,88.01090,76.45890,1015.00,-14.56
41080,2018,06,05,110.253,110.250,88.00870,76.41880,1014.60,-14.08
41080,2018,07,04,110.294,110.292,88.00650,76.37770,1014.10,-13.92
41080,2018,08,04,110.336,110.333,88.00440,76.33600,1013.80,-13.44
41080,2018,09,04,110.378,110.376,88.00210,76.29410,1013.50,-13.20
41080,2018,10,05,110.420,110.417,88.00000,76.25050,1013.10,-13.76
41080,2018,11,05,110.462,110.459,87.99790,76.20750,1012.80,-13.44
41080,2018,12,05,110.503,110.501,87.99590,76.16630,1012.40,-13.36
41080,2018,13,05,110.545,110.542,87.99400,76.12830,1012.10,-13.36
41080,2018,14,05,110.587,110.584,87.99210,76.09540,1011.60,-13.20
